product,warehouse,region,category,stock
Nirma Washing Powder 1kg,WH1-Kolkata,Kolkata,Laundry,237
Chumbak Printed Cushion Cover 40x40cm,WH1-Mumbai,Mumbai,Home Decor,587
Borosil Glass Mixing Bowl Set,WH2-Mumbai,Mumbai,Utensils,795
Aashirvaad Whole Wheat Atta 5kg,WH2-Pune,Pune,Groceries,363
Fortune Soya Oil 1L,WH1-Bangalore,Bangalore,Groceries,874
Tata Salt 1kg,WH2-Chennai,Chennai,Groceries,205
Himalaya Neem Face Wash 150ml,WH2-Chennai,Chennai,Bodycare,911
India Gate Basmati Rice (2 Years Aged) 5kg,WH1-Ahmedabad,Ahmedabad,Groceries,455
Sony Bravia 55" 4K TV,WH1-Hyderabad,Hyderabad,Electronics,674
Tata Salt 1kg,WH2-Hyderabad,Hyderabad,Groceries,484
Prestige Deluxe Alpha Pressure Cooker 5L,WH2-Ahmedabad,Ahmedabad,Utensils,862
Fortune Soya Oil 1L,WH1-Pune,Pune,Groceries,992
Dove Cream Beauty Bathing Bar 100g,WH2-Kolkata,Kolkata,Bodycare,587
Chumbak Printed Cushion Cover 40x40cm,WH2-Mumbai,Mumbai,Home Decor,490
Borosil Glass Mixing Bowl Set,WH2-Bangalore,Bangalore,Utensils,299
Pantene Advanced Hairfall Solution Shampoo 180ml,WH1-Ahmedabad,Ahmedabad,Bodycare,271
Borosil Glass Mixing Bowl Set,WH1-Ahmedabad,Ahmedabad,Utensils,463
boAt Airdopes 141 Earbuds,WH2-Bangalore,Bangalore,Electronics,995
Banana Robusta 1kg,WH1-Kolkata,Kolkata,Groceries,512
H&M Relaxed Fit Hoodie,WH1-Delhi,Delhi,Apparel,480
Chumbak Printed Cushion Cover 40x40cm,WH2-Mumbai,Mumbai,Home Decor,325
Rin Bar 250g,WH1-Pune,Pune,Laundry,567
Nivea Men Deodorant 150ml,WH1-Hyderabad,Hyderabad,Bodycare,394
Himalaya Neem Face Wash 150ml,WH1-Chennai,Chennai,Bodycare,198
D'Decor Blackout Curtains 7ft,WH1-Kolkata,Kolkata,Home Decor,332
boAt Airdopes 141 Earbuds,WH2-Chennai,Chennai,Electronics,234
FabIndia Cotton Kurta,WH1-Hyderabad,Hyderabad,Apparel,942
Sony Bravia 55" 4K TV,WH1-Kolkata,Kolkata,Electronics,959
H&M Relaxed Fit Hoodie,WH2-Hyderabad,Hyderabad,Apparel,587
Rin Bar 250g,WH1-Pune,Pune,Laundry,161
IKEA RANARP Floor Lamp,WH1-Bangalore,Bangalore,Home Decor,307
Milton Thermosteel Flask 1L,WH1-Ahmedabad,Ahmedabad,Utensils,386
Fortune Soya Oil 1L,WH2-Kolkata,Kolkata,Groceries,857
Sony Bravia 55" 4K TV,WH1-Delhi,Delhi,Electronics,439
Himalaya Neem Face Wash 150ml,WH2-Ahmedabad,Ahmedabad,Bodycare,585
Tata Salt 1kg,WH2-Kolkata,Kolkata,Groceries,384
Ariel Complete Detergent Powder 500g,WH2-Bangalore,Bangalore,Laundry,423
Milton Thermosteel Flask 1L,WH2-Chennai,Chennai,Utensils,31
FabIndia Cotton Kurta,WH1-Chennai,Chennai,Apparel,191
Chumbak Printed Cushion Cover 40x40cm,WH2-Kolkata,Kolkata,Home Decor,50
Dove Cream Beauty Bathing Bar 100g,WH2-Hyderabad,Hyderabad,Bodycare,703
H&M Relaxed Fit Hoodie,WH1-Mumbai,Mumbai,Apparel,85
IKEA RANARP Floor Lamp,WH2-Ahmedabad,Ahmedabad,Home Decor,582
Nivea Men Deodorant 150ml,WH2-Delhi,Delhi,Bodycare,483
H&M Relaxed Fit Hoodie,WH2-Kolkata,Kolkata,Apparel,845
Tata Salt 1kg,WH2-Bangalore,Bangalore,Groceries,484
Ariel Complete Detergent Powder 500g,WH2-Kolkata,Kolkata,Laundry,901
Samsung Galaxy S24 128GB,WH2-Chennai,Chennai,Electronics,650
Nike Dri-FIT Legend Shirt,WH2-Pune,Pune,Apparel,610
D'Decor Blackout Curtains 7ft,WH1-Chennai,Chennai,Home Decor,735
Pantene Advanced Hairfall Solution Shampoo 180ml,WH2-Kolkata,Kolkata,Bodycare,552
Urban Ladder Walnut Coffee Table,WH1-Hyderabad,Hyderabad,Home Decor,648
Tata Salt 1kg,WH1-Ahmedabad,Ahmedabad,Groceries,385
Samsung Galaxy S24 128GB,WH2-Pune,Pune,Electronics,144
Ariel Complete Detergent Powder 500g,WH2-Mumbai,Mumbai,Laundry,798
Rin Bar 250g,WH2-Ahmedabad,Ahmedabad,Laundry,881
Amul Gold Milk 1L,WH2-Pune,Pune,Groceries,550
IKEA RANARP Floor Lamp,WH1-Hyderabad,Hyderabad,Home Decor,717
Nivea Men Deodorant 150ml,WH2-Mumbai,Mumbai,Bodycare,613
D'Decor Blackout Curtains 7ft,WH1-Kolkata,Kolkata,Home Decor,651
Apple MacBook Air M3 13",WH2-Pune,Pune,Electronics,374
Rin Bar 250g,WH1-Pune,Pune,Laundry,833
Tata Salt 1kg,WH1-Kolkata,Kolkata,Groceries,974
Tata Salt 1kg,WH2-Ahmedabad,Ahmedabad,Groceries,205
Tata Salt 1kg,WH1-Hyderabad,Hyderabad,Groceries,598
Amul Gold Milk 1L,WH1-Bangalore,Bangalore,Groceries,34
Nike Dri-FIT Legend Shirt,WH1-Delhi,Delhi,Apparel,663
Chumbak Printed Cushion Cover 40x40cm,WH1-Pune,Pune,Home Decor,57
Milton Thermosteel Flask 1L,WH1-Chennai,Chennai,Utensils,251
Hawkins Contura Non-Stick Fry Pan 26cm,WH2-Kolkata,Kolkata,Utensils,131
Nirma Washing Powder 1kg,WH1-Delhi,Delhi,Laundry,829
Rin Bar 250g,WH2-Ahmedabad,Ahmedabad,Laundry,69
H&M Relaxed Fit Hoodie,WH1-Bangalore,Bangalore,Apparel,381
Ariel Complete Detergent Powder 500g,WH1-Kolkata,Kolkata,Laundry,430
Pantene Advanced Hairfall Solution Shampoo 180ml,WH2-Ahmedabad,Ahmedabad,Bodycare,594
D'Decor Blackout Curtains 7ft,WH1-Pune,Pune,Home Decor,60
Surf Excel Matic Liquid 1L,WH2-Bangalore,Bangalore,Laundry,745
Amul Gold Milk 1L,WH1-Ahmedabad,Ahmedabad,Groceries,236
Nivea Men Deodorant 150ml,WH2-Mumbai,Mumbai,Bodycare,448
Sony Bravia 55" 4K TV,WH2-Bangalore,Bangalore,Electronics,45
Ariel Complete Detergent Powder 500g,WH2-Mumbai,Mumbai,Laundry,944
Himalaya Neem Face Wash 150ml,WH2-Pune,Pune,Bodycare,568
Chumbak Printed Cushion Cover 40x40cm,WH2-Delhi,Delhi,Home Decor,203
Ariel Complete Detergent Powder 500g,WH2-Mumbai,Mumbai,Laundry,457
Dove Cream Beauty Bathing Bar 100g,WH2-Kolkata,Kolkata,Bodycare,625
Aashirvaad Whole Wheat Atta 5kg,WH2-Chennai,Chennai,Groceries,30
Rin Bar 250g,WH1-Mumbai,Mumbai,Laundry,849
India Gate Basmati Rice (2 Years Aged) 5kg,WH2-Kolkata,Kolkata,Groceries,270
Pantene Advanced Hairfall Solution Shampoo 180ml,WH1-Chennai,Chennai,Bodycare,803
