product,category,score,source,date
Smartwatch,Electronics,98,instagram,2025-07-01
Wireless Earbuds,Electronics,92,pytrends,2025-07-02
Guava Girl Dress,Fashion,87,instagram,2025-07-03
Kurta,Fashion,95,twitter,2025-07-04
Sneakers,Fashion,90,instagram,2025-07-05
T-Shirts,Fashion,85,pytrends,2025-07-06
Rice,Grocery,99,twitter,2025-07-07
Flour,Grocery,88,instagram,2025-07-08
Smartphone,Electronics,93,pytrends,2025-07-09
Laptop,Electronics,89,twitter,2025-07-10
Smartwatch,Electronics,91,instagram,2025-07-11
Wireless Earbuds,Electronics,85,pytrends,2025-07-12
Guava Girl Dress,Fashion,80,instagram,2025-07-13
Kurta,Fashion,88,twitter,2025-07-14
Sneakers,Fashion,84,instagram,2025-07-15
T-Shirts,Fashion,79,pytrends,2025-07-16
Rice,Grocery,97,twitter,2025-07-17
Flour,Grocery,82,instagram,2025-07-18
Smartphone,Electronics,95,pytrends,2025-07-19
Laptop,Electronics,87,twitter,2025-07-20
Smartwatch,Electronics,90,instagram,2025-07-21
Wireless Earbuds,Electronics,83,pytrends,2025-07-22
Guava Girl Dress,Fashion,78,instagram,2025-07-23
Kurta,Fashion,85,twitter,2025-07-24
Sneakers,Fashion,80,instagram,2025-07-25
T-Shirts,Fashion,75,pytrends,2025-07-26
Rice,Grocery,95,twitter,2025-07-27
Flour,Grocery,78,instagram,2025-07-28
Smartphone,Electronics,90,pytrends,2025-07-29
Laptop,Electronics,85,twitter,2025-07-30
Smartwatch,Electronics,88,instagram,2025-07-31
Wireless Earbuds,Electronics,80,pytrends,2025-07-31
Guava Girl Dress,Fashion,75,instagram,2025-07-31
Kurta,Fashion,82,twitter,2025-07-31
Sneakers,Fashion,78,instagram,2025-07-31
T-Shirts,Fashion,70,pytrends,2025-07-31
Rice,Grocery,90,twitter,2025-07-31
Flour,Grocery,70,instagram,2025-07-31
